Cocktail Name,Ingredients
Grasshopper,"25ml Peppermint Liqueur,25ml Creme De Cacao,75ml Half & Half (1:1 cream/milk)"
Corpse Reviver No2,"25ml Gin,25ml Lillet,25ml Triple sec,5ml Absinthe,25ml Lemon Juice"
Hurricane,"25ml Dark Rum,25ml Light Rum,50ml Passionfruit Juice,25ml Orange Juice,15ml Lime Juice,10ml Grenadine Syrup,10ml Gomme Syrup"
Sidecar,"30ml Brandy,30ml Triple Sec,30ml Lemon Juice"
Batida,"50ml Cachaça,60ml Fruit Puree,15ml Lime Juice,25ml Condensed Milk"
Champagne,"10ml Cognac,1 Brown Sugar Cube,2 Dashes Angostura Bitters,Top Champagne"
Southside,"50ml Gin,25ml Lemon Juice,15ml Gomme,6 Mint Leaves"
Mimosa,"50ml Fresh Orange Juice,Top Sparkling Wine"
Penicillin,"40ml Scotch,15ml Ginger Liqueur,15ml Islay Whiskey,20ml Lemon Juice,10ml Honey"
El Diablo,"35ml Reposado Tequila,15ml Cassis,15ml Lime Juice,60ml Ginger Beer"
Gibson,"60ml Gin,10ml Dry Vermouth"
Ramos Gin Fizz,"50ml Gin,10ml Lime Juice,10ml Lemon Juice,20ml Gomme,3 drops Orange Flower Extract,3 drops Vanilla Extract,1 Egg White,20ml Half & Half,Top Soda"
Singapore Sling,"25ml Gin,10ml Grand Marnier,10ml Maraschino Liqueur,10ml Benedictine,40ml Pineapple Juice,20ml Lime Juice,1 Dash Angostura Bitters,Top Soda"
Pina Colada,"50ml Golden Rum,50ml Pineapple Juice,35ml Coconut Milk,15ml Lime Juice"
Mint Julep,"50ml Bourbon,15ml Gomme,8 Mint Leaves"
Blue Blazer,"60ml Cask Strength Whiskey (55% +),10ml Demerara Sugar Syrup,40ml Boiling Water"
Breakfast Martini,"50ml Gin,15ml Triple sec,15ml Lemon Juice,1 Teaspoon Marmalade (stir with lemon juice)"
Hot Toddy,"50ml Whiskey,10ml Lemon Juice,10ml Honey,2 Cloves,1 Cinnamon Stick,Pinch Nutmeg,60ml Hot Water"
Clover Club,"50ml Gin,10ml Fresh Lemon Juice,10ml Grenadine,10ml Sweet Vermouth,5 Raspberries,Egg White"
Zombie,"25ml Golden Rum,25ml Dark Rum,25ml Triple sec,15ml Lime Juice,40ml Orange Juice,25ml Passionfruit Puree,7.5ml Grenadine,2 Dashes Angostura Bitters"
Americano,"45ml Campari,45ml Sweet Vermouth,Top Soda"
Cubre Libre,"50ml Rum,3 Wedges Lime Squeezed,Top Coca-Cola"
Seabreeze,"50ml Vodka,50ml Cranberry Juice,25ml Grapefruit Juice"
Anejo Highball,"35ml Golden Rum,15ml Triple sec,10ml Lime Juice,1 Dash Angostura Bitters,Top Ginger Beer"
Aviation,"50ml Gin,10ml Maraschino Liqueur,7.5ml Violet liqueur,20ml Lemon Juice"
Rum Swizzle,"50ml Rum,15ml Velvet Falernum,20ml Lime Juice,10ml Demerara Sugar Syrup,1 dash Angostura Bitters"
Planter's Punch,"50ml Dark Rum,20ml Lime Juice,15ml Gomme,3 Dashes Angostura Bitters,Top Soda"
Bramble,"50ml Gin,25ml Fresh Lemon Juice,10ml Sugar Syrup,10ml Blackberry Liqueur"
French 75,"15ml Gin,7.5ml Lemon Juice,5ml Gomme,Top Champagne"
White Russian,"25ml Vodka,25ml Coffee Liqueur,75ml Half/Half (1:1 Milk/Cream)"
Elderflower Collins,"40ml Gin,15ml Elderflower Liqueur,10ml Gomme,4 Lime Wedges,Top Soda"
Gimlet,"60ml Gin,20ml Lime Juice,10ml Gomme Syrup"
Pisco Sour,"50ml Pisco,2ml Lime Juice,10ml Gomme,1 Egg White"
Tom Collins,"50ml Gin,20ml Lemon Juice,15ml Simple Syrup,150ml Soda Water"
Long Island Iced Tea,"10ml Vodka,10ml Tequila,10ml Rum,10ml Orange Liqueur,10ml Gin,100ml Cola"
Kir Royale,"110ml Champagne,15ml Crème de Cassis"
Sazerac,"40 Rye Whiskey,20ml Cognac,1 Brown Sugar Cube,3 Dashes of Peychaud’s Bitters"
Pimm's Cup,"50ml Pimm’s No.1 Cup,125ml Lemonade,5 Mint Leaves,2 Slices of Orange,2 Slices of Apple,2 Slices of Cucumber,1 Strawberry (cut in quarters)"
Cosmopolitan,"30ml Vodka,20ml Triple Sec,60ml Cranberry Juice,10ml Lime Juice,2 Dashes Orange Bitters"
Bellini,"100ml Prosecco,25ml Peach Puree"
Vesper Martini,"40ml Gin,10ml Vodka,5ml Lillet"
Hemingway Daiquiri,"35ml White Rum,15ml Maraschino Liqueur,20ml Lime Juice,60ml Grapefruit Juice,10ml Gomme"
Mai Tai,"25ml Gold Rum,25ml Dark Rum,15ml Triple Sec,15ml Orgeat Syrup,25ml Lime Juice"
Paloma,"50ml Reposado Tequila,25ml Pink Grapefruit Juice,15ml Lime Juice,5ml Agave Syrup,Top Grapefruit Soda"
Tommy's Margarita,"50ml Reposado Tequila,25ml Lime Juice,15ml Agave Syrup"
Bloody Mary,"50ml Vodka,80ml Tomato Juice,15ml Lemon Juice,15ml Worcester Sauce,5 Dashes Tabasco Sauce,2 Pinches of Celery Salt,2 Pinches Onion Salt,2 Pinches of Black Pepper"
Vodka Martini,"50ml Vodka,5ml Dry Vermouth"
Amaretto Sour,"50ml Amaretto Liqueur,25ml Lemon Juice,15ml Simple Syrup,Egg White"
Caipirinha,"60ml Cachaça,4-6 Wedges of Fresh Lime,10ml Simple Syrup"
Manhattan,"50ml Whiskey,20ml Sweet Vermouth,1 Dash of Angostura Bitters"
Moscow Mule,"50ml Vodka,15ml Lime Juice,150ml Ginger Beer,3 Dashes of Angostura Bitters"
French Martini,"25ml Vodka,25ml Chambord,50ml Pineapple Juice"
Whiskey Sour,"50ml Whiskey (we recommend a Bourbon),25ml Lemon Juice,15ml Simple Syrup,1 Egg White,3 Dashes of Angostura Bitters"
Dark 'n' Stormy,"50ml Gosling’s Black Seal Rum,15ml Lime Juice,Top Ginger Beer,3 Dashes of Angostura Bitters"
Martini,"50ml Gin,5ml Dry Vermouth"
Margarita,"35ml Reposado Tequila,15ml Orange Liqueur,30ml Lime Juice,5ml Simple Syrup"
Mojito,"50ml Rum,15ml Lime Juice,10ml Simple Syrup,50ml Soda Water,5 Mint Leaves"
Daiquiri,"50ml Rum,35ml Lime Juice,15ml Simple Syrup"
Aperol Spritz,"30ml Aperol,60ml Prosecco,30ml Soda Water"
Negroni,"25ml Gin,25ml Sweet Vermouth,25ml Campari"
Pornstar Martini,"40ml Vodka,15ml Passionfruit Liqueur,15ml Vanilla Gomme,10ml Lime Juice,20ml Passionfruit Puree,50ml Champagne"
Espresso Martini,"25ml Vodka,25ml Coffee Liqueur,50ml Fresh Espresso Coffee,5ml Simple Syrup (optional)"
Old Fashioned,"50ml Bourbon,3 dashes of Angostura Bitters,1 Brown Sugar Cube"
Screwdriver,"44ml Vodka, 177ml Orange Juice, 1.5 cups of ice cubes"
Gin & Tonic,"60ml Gin, 120ml Tonic Water"
