Cocktail Name,Ingredients,Taste,Ingredient_Break_Down,Weight
White Russian,"vodka, coffee liqueur, heavy cream",['creamy'],"['vodka', 'coffee']",light
Pina Colada,"rum, cream of coconut, pineapple juice, frozen pineapple, lime juice","['sweet', 'fruity', 'creamy', 'citrusy', 'sour']",['rum'],light
Mai Tai,"aged rum, dark rum, orange liqueur, lime juice, simple syrup","['sweet', 'fruity', 'citrusy', 'sweet', 'citrusy', 'sour', 'sweet']",['rum'],light
Gin Tonic,"gin, tonic","['floral', 'herbal', 'spicy']",['gin'],heavy
Aperol Spritz,"sparkling wine, aperol, soda water",['carbonated'],['wine'],heavy
Long Island Iced Tea,"vodka, rum, gin, tequila, triple sec, lemon juice, cola","['sweet', 'fruity', 'floral', 'herbal', 'spicy', 'citrusy', 'sweet', 'citrusy', 'sour']","['rum', 'vodka', 'tequila', 'gin']",heavy
White Lady,"gin, orange liqueur, lemon juice, egg white","['floral', 'herbal', 'spicy', 'citrusy', 'sweet', 'creamy', 'citrusy', 'sour']","['egg white', 'gin']",light
Cosmopolitan,"vodka, cointreau, lemon juice, cranberry juice","['citrusy', 'sweet', 'fruity', 'sweet', 'citrusy', 'sour']",['vodka'],heavy
Zombie,"rum, lemon juice, falernum, grenadine, simple syrup, pineapple juice","['sweet', 'fruity', 'fruity', 'sweet', 'citrusy', 'sour', 'sweet']",['rum'],light
Vodka Martini,"vodka, dry vermouth, orange bitters","['floral', 'herbal', 'bitter']",['vodka'],heavy
Aviation,"gin, maraschino liqueur, lemon juice, creme de violette","['floral', 'herbal', 'spicy', 'bitter', 'fruity', 'sour', 'creamy', 'citrusy', 'sour']",['gin'],light
Americano,"campari, sweet vermouth, club soda","['sweet', 'spicy', 'herbal', 'bitter', 'bitter', 'citrusy', 'carbonated']",[],heavy
Boulevardier,"bourbon, sweet vermouth, campari","['spicy', 'smoky', 'sweet', 'spicy', 'herbal', 'bitter', 'bitter', 'citrusy']",['whiskey'],heavy
Penicillin,"blended scotch whiskey, lemon juice, honey-ginger syrup, islay single malt scotch whiskey","['spicy', 'smoky', 'spicy', 'citrusy', 'sour', 'sweet']",['whiskey'],light
Dark 'n' Stormy,"dark rum, ginger beer","['sweet', 'fruity', 'carbonated', 'spicy']",['rum'],heavy
God Father,"bourbon, amaretto","['spicy', 'smoky', 'sweet', 'nutty']",['whiskey'],heavy
